,AVG Overall Acurracy,AVG Macro Acurracy,AVG Iou
image 50,0.9182332356770834,0.5151038634790039,0.36833843196711197
image 51,0.9726104736328125,0.663898985592129,0.5879119746260748
image 52,0.905579339890253,0.6608893248448525,0.4669942147779815
image 53,0.94744873046875,0.5418510140116917,0.4032024734461606
image 54,0.9632214997944079,0.5222042648219284,0.43166573989786533
image 55,0.9731588924632353,0.7462103725159022,0.5663862251114624
image 56,0.955438232421875,0.4691501318076676,0.3715339047994072
image 57,0.9743443539268092,0.6858954819908506,0.49235399892617265
image 58,0.9401374816894531,0.5296704679596979,0.37552662494195466
image 59,0.9598052978515625,0.6928064486037617,0.5713202437703676
