,,Overall_acurracy,Macro_acurracy,Iou
image 50,depth1,0.8789215087890625,0.3333333333333333,0.2929738362630208
image 50,depth2,0.888916015625,0.3333333333333333,0.2963053385416667
image 50,depth3,0.9058685302734375,0.44481740425793115,0.360754500828741
image 50,depth4,0.923492431640625,0.3242709427638107,0.30922702596354706
image 50,depth5,0.9196014404296875,0.5703137035163893,0.39309067181922236
image 50,depth6,0.90020751953125,0.4103636195054981,0.3045301168555306
image 50,depth7,0.90625,0.7968939612727844,0.3854827804216389
image 50,depth8,0.88812255859375,0.2960544051597414,0.2960408528645833
image 50,depth9,0.882537841796875,0.7981967753196164,0.3068104766925483
image 50,depth10,0.892547607421875,0.7816191553529835,0.33080260792357025
image 50,depth11,0.933135986328125,0.7673085360735189,0.5966318793979093
image 50,depth12,0.9248199462890625,0.6441078502870538,0.5383116924317451
image 50,depth13,0.9439544677734375,0.559278265342399,0.452407139281602
image 50,depth14,0.996337890625,0.3333333333333333,0.3321126302083333
image 50,depth15,0.9887847900390625,0.3333333333333333,0.3295949300130208
image 51,depth1,0.9970245361328125,0.3333333333333333,0.3323415120442708
image 51,depth2,0.9547271728515625,0.3333333333333333,0.3182423909505208
image 51,depth3,0.9680938720703125,0.6460203354338646,0.6095794523525006
image 51,depth4,0.9619140625,0.6817463587264422,0.6445249394985565
image 51,depth5,0.9677886962890625,0.8328168757053912,0.6985606750838876
image 51,depth6,0.97149658203125,0.8559404743583424,0.7251403753064154
image 51,depth7,0.972137451171875,0.8638861594086399,0.7445478133966014
image 51,depth8,0.976715087890625,0.8922365185708011,0.7848738824007416
image 51,depth9,0.97821044921875,0.8916246898027143,0.7951664258654958
image 51,depth10,0.971343994140625,0.9091909380400977,0.7832303195607629
image 51,depth11,0.9606170654296875,0.7856348976668848,0.661611221099249
image 51,depth12,0.9658203125,0.6021552172432939,0.47606285432843953
image 51,depth13,0.9873504638671875,0.3333333333333333,0.3291168212890625
image 51,depth14,0.983306884765625,0.3333333333333333,0.3277689615885417
image 52,depth1,0.9591217041015625,0.3333333333333333,0.3197072347005208
image 52,depth2,0.9545440673828125,0.3333333333333333,0.3181813557942708
image 52,depth3,0.8896331787109375,0.6907640343606838,0.4843810062460137
image 52,depth4,0.8643798828125,0.8238178807114244,0.47332774643124514
image 52,depth5,0.8643951416015625,0.8501238255803041,0.5018389513848628
image 52,depth6,0.8740386962890625,0.8523947280996018,0.5203650454858162
image 52,depth7,0.85784912109375,0.783832776715306,0.5057537762738828
image 52,depth8,0.8499603271484375,0.8451600262852526,0.5098856575307471
image 52,depth9,0.8517608642578125,0.7937979990710898,0.5112499003059433
image 52,depth10,0.8595733642578125,0.7094860074431356,0.5177588703581834
image 52,depth11,0.85614013671875,0.9049513151000311,0.5191807136016963
image 52,depth12,0.8577423095703125,0.860679616029536,0.49109485064647646
image 52,depth13,0.8797607421875,0.6427851371215397,0.49742442922906055
image 52,depth14,0.90753173828125,0.6060931521828903,0.5273179663245328
image 52,depth15,0.898773193359375,0.6040267812183937,0.47741538522476407
image 52,depth16,0.9349822998046875,0.5784206790979501,0.5367365897465776
image 52,depth17,0.9384002685546875,0.5546641895387064,0.49762794466444554
image 52,depth18,0.96697998046875,0.5961874580306842,0.5245226176723119
image 52,depth19,0.9686126708984375,0.5148235484887072,0.41211298531782387
image 52,depth20,0.9851531982421875,0.5,0.3283843994140625
image 52,depth21,0.997833251953125,0.5,0.332611083984375
image 53,depth1,0.978851318359375,0.5,0.3262837727864583
image 53,depth2,0.9539337158203125,0.3706050047513462,0.3551664190260293
image 53,depth3,0.9462738037109375,0.3655582777891993,0.3508430299374475
